WKT,gid,access,addr:housename,addr:housenumber,amenity,brand,building,ele,highway,layer,name,operator,shop,tourism,tid,territory_name
"POINT (126.413922182403 33.2503000958917)","5189080353",,,,cafe,,,,,,옐로우카페 제주점,,,,,
"POINT (126.416936982403 33.2551597958913)","4905767723",,,,cafe,,,,,,,,,,,
"POINT (126.4368324824 33.2369887958929)","5811987854",,,,cafe,,,,,,,,,,,
"POINT (126.463820182396 33.2320639958934)","4199987993",,,,cafe,,,,,,스르륵,,,,,
"POINT (126.448685182398 33.2459739958921)","5530044911",,,,cafe,,,,,,,,,,,
"POINT (126.496973582391 33.2331711958933)","5530044912",,,,cafe,,,,,,,,,,,
"POINT (126.50544828239 33.2314467958934)","5530176822",,,,cafe,,,,,,,,,,,
"POINT (126.50598698239 33.2315481958935)","4703130693",,,"166",cafe,,,,,,아뜰리에안,,,,,
"POINT (126.561413082383 33.2452859958922)","5186146522",,,,cafe,,,,,,오버더윈도우,,,,,
"POINT (126.562030282382 33.2455113958922)","4881381422",,,,cafe,,,,,,그래용,,,,,
"POINT (126.561747182382 33.247609895892)","4414043090",,,,cafe,,,,,,Starbucks,,,,,
"POINT (126.560192082383 33.2516799958916)","4136899140",,,"9",cafe,,,,,,Cafe WOOKUN,,,,,
"POINT (126.560833082383 33.2536930958914)","5891927685",,,,cafe,,,,,,,,,,,
"POINT (126.515240182389 33.3594343958817)","3758034720",,,,cafe,,,,,,노루쉼터,,,,,
"POINT (126.254731882425 33.4033760958776)","4774928434",,,,cafe,,,,,,달리북카페,,,,,
"POINT (126.254047182425 33.4046715958775)","5870091788",,,"518",cafe,,,,,,And Yu Cafe,,,,,
"POINT (126.304546182418 33.4493805958734)","4200285605",,,064-799-5533,cafe,,,,,,태희,,,,,
"POINT (126.307306982418 33.4482704958735)","4200237526",,,,cafe,,,,,,몬스터살롱,,,,,
"POINT (126.307967382418 33.4529072958731)","4856453024",,,,cafe,,,,,,분홍씨,,,,,
"POINT (126.309595682418 33.4625291958722)","5307864121",,,,cafe,,,,,,,,,,,
"POINT (126.309276182418 33.4629311958722)","4200240209",,,64-799-8900,cafe,,,,,,몽상드애월,,,,,
"POINT (126.310669882417 33.4620566958723)","5515370821",,,,cafe,,,,,,,,,,,
"POINT (126.317560782416 33.4673228958718)","5023685521",,,,cafe,,,,,,,,,,,
"POINT (126.342020482413 33.4706980958715)","5513254227",,,,cafe,,,,,,,,,,,
"POINT (126.347767582412 33.4579751958726)","4513287191",,,,cafe,,,,,,,,,,,
"POINT (126.348929082412 33.4579411958726)","4202201794",,,070-7797-3708,cafe,,,,,,살롱드라방,,,,,
"POINT (126.348904482412 33.4729190958713)","6833727887",,,,cafe,,,,,,,,,,,
"POINT (126.349391082412 33.4727602958713)","5513254226",,,,cafe,스타벅스,,,,,스타벅스,(주)스타벅스커피 코리아,,,,
"POINT (126.368615482409 33.4780765958708)","5248112321",,,,cafe,,,,,,,,,,,
"POINT (126.404190582404 33.4837346958703)","5512933623",,,,cafe,,,,,,,,,,,
"POINT (126.413629482403 33.4823440958704)","4631130125",,,,cafe,,,,,,커피쟁이&빵굽는하루카,,,,,
"POINT (126.473063382395 33.4805423958706)","5017356221",,,,cafe,,,,,,에스프레소 라운지,,,,,
"POINT (126.484440482393 33.4702195958715)","7241586989",,,,cafe,,,,,,cafe901,,,,,
"POINT (126.475315082395 33.4846631958702)","4650315641",,,,cafe,,,,,,,,,,,
"POINT (126.475951782394 33.4853359958701)","4650315652",,,,cafe,,,,,,,,,,,
"POINT (126.477844782394 33.4840917958702)","4650315645",,,,cafe,,,,,,,,,,,
"POINT (126.490087782392 33.4852100958701)","3774597169",,,,cafe,,,,,,투썸플레이스 제주연동점,,,,,
"POINT (126.490794382392 33.4860310958701)","3787314630",,,"99",cafe,,,,,,스타벅스 신제주점,,,,,
"POINT (126.492971482392 33.4857898958701)","5369741621",,,,cafe,,,,,,,,,,,
"POINT (126.554687182383 33.4466519958737)","3787162998",,,3041-15,cafe,,,,,,바람카페 (Baram Cafe),,,,,
"POINT (126.540360482385 33.4743728958711)","4631891216",,,,cafe,,,,,,칼디,,,,,
"POINT (126.540877782385 33.4721489958713)","4631423461",,,,cafe,,,,,,베짱이컴퍼니,,,,,
"POINT (126.541000482385 33.4721831958713)","4631423462",,,,cafe,,,,,,카페헤이브라운,,,,,
"POINT (126.543923482385 33.4745162958711)","4631891213",,,,cafe,,,,,,돌미롱,,,,,
"POINT (126.545410182385 33.4740355958712)","4631891192",,,,cafe,,,,,,베스킨라빈스 제주아라점,,,,,
"POINT (126.431428282401 33.48707909587)","3841326255",,DM Building,548-5,cafe,,,,,,Babeans coffee,,,,,
"POINT (126.430920582401 33.4937568958694)","6435171585",,,,cafe,,,,,,니모메 빈티지 라운지,,,,,
"POINT (126.470484082395 33.508355295868)","6161315502",,,,cafe,투썸플레이스,,,,,투썸플레이스,투썸플레이스(주),,,,
"POINT (126.480497282394 33.48725349587)","7241587086",,,,cafe,,,,,,rice boyak,,,,,
"POINT (126.485018782393 33.48700609587)","3774532804",,,,cafe,,,,,,여유,,,,,
"POINT (126.489761582392 33.48729309587)","3774532494",,,,cafe,,,,,,탐앤탐스 신제주점,,,,,
"POINT (126.482954982393 33.5105209958678)","7083783985",,,,cafe,,,,,,,,,,,
"POINT (126.487852582393 33.5177995958672)","3786966022",,,,cafe,,,,,,닐모리동동,,,,,
"POINT (126.502385282391 33.5171071958672)","5511215323",,,,cafe,카페베네,,,,,카페베네,Caffe Bene,,,,
"POINT (126.503103382391 33.5168533958672)","5512558321",,,,cafe,엔제리너스,,,,,엔제리너스,롯데GRS,,,,
"POINT (126.511371182389 33.5124979958677)","6471071285",,,,cafe,,,,,,,,,,,
"POINT (126.513747482389 33.5102140958679)","4672803436",,,"21",cafe,,,,,,제주야놀자,,,,,
"POINT (126.530174482387 33.4986786958689)","4661402130",,,,cafe,,,,,,탐앤탐스,,,,,
"POINT (126.530255882387 33.4983911958689)","4470826989",,,,cafe,,,,,,,,,,,
"POINT (126.523048782388 33.5107162958678)","6923791249",,,,cafe,,,,,,Hello Bab,,,,,
"POINT (126.521038182388 33.5129784958676)","6923791235",,,,cafe,,,,,,Cafe HUG,,,,,
"POINT (126.521332482388 33.5123570958677)","6699725887",,,,cafe,,,,,,카페 쌀,,,,,
"POINT (126.525345882388 33.5168569958673)","6248613385",,,,cafe,,,,,,Antoinette Dessert Cafe,,,,,
"POINT (126.529764782387 33.5154660958674)","5821389153",,,,cafe,,,,,,티티카카,,,,,
"POINT (126.563677282382 33.2445418958923)","3201140842",,,406-2,cafe,,,,,,유동커피,,,,,
"POINT (126.57880028238 33.2440869958923)","6243784085",,,,cafe,,,,,,Honeymoon house Cafe & bakery,,,,,
"POINT (126.595966982378 33.2370374958929)","5532568022",,,,cafe,,,,,,,,,,,
"POINT (126.564297782382 33.2449523958922)","4463131689",,,,cafe,,,,,,,,,,,
"POINT (126.564450382382 33.2448768958922)","5865876485",,,,cafe,,,,,,,,,,,
"POINT (126.564414982382 33.2455260958921)","4436182291",,,,cafe,,,,,,,,,,,
"POINT (126.564031482382 33.247677395892)","6923791237",,,,cafe,,,,,,Korean Dessert Cafe,,,,,
"POINT (126.616153282375 33.2419901958925)","5891999485",,,,cafe,,,,,,roof top cafe olle 6 trail,,,,,
"POINT (126.618364582375 33.2504343958917)","4435898690",,,,cafe,,,,,,,,,,,
"POINT (126.641000882371 33.2648021958904)","5581931254",,,,cafe,,,,,,,,,,,
"POINT (126.589878482379 33.2680645958901)","6678569402",,,,cafe,,,,,,오십번길카페,,,,,
"POINT (126.589871482379 33.2681686958901)","6678640494",,,,cafe,,,,,,석화갤러리,,,,,
"POINT (126.676514282366 33.2725951958897)","4202211691",,,070-4656-1761,cafe,,,,,,와랑와랑,,,,,
"POINT (126.690791682365 33.2703637958899)","569002202",,,,cafe,,,,,,무인카페 (Muin Cafe),,,,,
"POINT (126.712174982362 33.3099445958862)","7111581786",,,"197",cafe,,,,,,산티아고가는길,Santiago,,,,
"POINT (126.620075582374 33.3851222958793)","2455282394",,,,cafe,,,,,,,,,,,
"POINT (126.761447882355 33.2921437958879)","4202233193",,,010-8662-8611,cafe,,,,,,샐리,,,,,
"POINT (126.841006182344 33.3787419958799)","4873147321",,,,cafe,,,,,,물고기나무,,,,,
"POINT (126.876781382339 33.3765214958801)","4202246290",,,064-784-4333,cafe,,,,,,신산리마을카페,,,,,
"POINT (126.731880482359 33.4341757958748)","6460746185",,,,cafe,,,,,,,,,,,
"POINT (126.572752882381 33.5187091958671)","4640181278",,,"12",cafe,,,,,,요거프레소,,,,,
"POINT (126.635967882372 33.5355806958655)","4639561508",,,"215",cafe,,,,,,어느 멋진 날,,,,,
"POINT (126.707115282362 33.48634239587)","4927833421",,,,cafe,,,,,,다희연 카페,,,,,
"POINT (126.705585782362 33.5116080958677)","7241587385",,,,cafe,,,,,,small kitchen,,,,,
"POINT (126.714598082361 33.508830595868)","6698397985",,,"68",cafe,,,,,,동백,,,,,
"POINT (126.664733082368 33.5428751958649)","5154843369",,,,cafe,요거프레소,,,,,요거프레소,(주)요거프레소,,,,
"POINT (126.687093182365 33.5453965958646)","5519715521",,,,cafe,,,,,,,,,,,
"POINT (126.695952382364 33.5512080958641)","2713478305",,,,cafe,,,,,,,,,guest_house,,
"POINT (126.902793382335 33.4032408958777)","6014424087",,,,cafe,,,,,,,,,,,
"POINT (126.771457382353 33.5285757958662)","414940107",,,,cafe,,,,,,(만장굴휴게소) (( Manjanggul Service Station )),,,,,
"POINT (126.755437982356 33.5569100958636)","4636870918",,,,cafe,,,,,,파라다이스비치,,,,,
"POINT (126.755232882356 33.5577614958635)","4200238208",,,010-3689-3436,cafe,,,,,,쪼끌락,,,,,
"POINT (126.79583518235 33.5556471958637)","7475193658",,,"460",cafe,,,,,,머문카페[MOUMOON CAFE],,,,,
"POINT (126.859843482341 33.5246187958665)","4200293192",,,070-4548-0752,cafe,,,,,,카페공작소,,,,,
"POINT (126.861857582341 33.5245137958665)","4200238203",,,064-782-6070,cafe,,,,,,미엘드세화,,,,,
"POINT (126.898580082336 33.4932551958694)","4202246089",,,070-8900-6621,cafe,,,,,,카페동네,,,,,
"POINT (126.898803482336 33.5219507958668)","7099246485",,,,cafe,,,,,,,,,,,
"POINT (126.839160982344 33.5355006958655)","4200321390",,,010-4787-2901,cafe,,,,,,아일랜드조르바,,,,,
"POINT (126.839324182344 33.5354111958655)","4200238210",,,,cafe,,,,,,평대스낵,,,,,
"POINT (126.831235982345 33.541693795865)","4200239825",,,064-783-4847,cafe,,,,,,바보카페,,,,,
"POINT (126.918353682333 33.4390916958744)","4998978521",,,,cafe,,,,,,ALAMO,,,,,
"POINT (126.918232082333 33.4496882958734)","5873512486",,,,cafe,,,,,,도렐,,,,,
"POINT (126.934471982331 33.4611444958723)","6704943186",,,2F,cafe,,,,,,마가리따 은혜씨,,,,,
"POINT (126.93596808233 33.465290895872)","2455282095",,,,cafe,,,,,,,,,,,
"POINT (126.946522582329 33.4942243958693)","2455282303",,,,cafe,,,,,,Poyoyo Cafe,,,,,
"POINT (126.943563082329 33.5027012958685)","2455282132",,,,cafe,,,,,,Latte King,,,,,
"POINT (126.94148768233 33.5062068958682)","5368630521",,,,cafe,,,,,,,,,,,
"POINT (126.943486482329 33.5099826958679)","5522084428",,,,cafe,,,,,,,,,,,
"POINT (126.958117482327 33.5156461958674)","6081413885",,,"783",cafe,,,,,,블랑로쉐,,,,,
"POINT (126.960034582327 33.5183077958671)","5522144624",,,,cafe,,,,,,,,,,,
"POINT (126.958326482327 33.519982295867)","5522144625",,,,cafe,,,,,,,,,,,
"POINT (126.14647328244 34.6415082957662)","4467373090",,,"11",cafe,,,,,,,,,,,
"POINT (126.263687882424 34.4736468957811)","4637032026",,,,cafe,,,,,,백두아파트,,,,,
"POINT (126.264051682424 34.4782721957807)","4635125351",,,,cafe,카페베네,,,,,카페베네,Caffe Bene,,,,
"POINT (126.263509382424 34.4800810957805)","368700974",,,,cafe,,,,,,파리바게트 전남진도점,,,,,
"POINT (126.263445982424 34.4808479957804)","4637006988",,,,cafe,,,,,,아이센스 피시방,,,,,
"POINT (126.263824882424 34.4813064957804)","4654844564",,,,cafe,,,,,,The camp 피시방,,,,,
"POINT (126.266070182424 34.4831862957803)","4637012128",,,,cafe,,,,,,뮤엠(진도점),,,,,
"POINT (126.266070182424 34.4831862957803)","4637012127",,,,cafe,,,,,,뮤엠 영어 (진도점),,,,,
"POINT (126.4323321824 34.8009707957522)","1779131923",,,,cafe,,,,,,I Coffee,,,,,
"POINT (126.373506582409 34.8063853957518)","4453639926",,,"176",cafe,,,,,,파스쿠찌,,,,,
"POINT (126.373872082409 34.8070814957517)","4453639922",,,"7",cafe,,,,,,투썸플레이스 북항점,,,,,
"POINT (126.415991882403 34.8523377957478)","4640991269",,,,cafe,,,,,,커피정원,,,,,
"POINT (126.497536582391 34.8514836957478)","4656421196",,,,cafe,,,,,,일로와,,,,,
"POINT (126.262477582424 35.5953461956835)","4631434223",,,,cafe,,,,,,쉐백,,,,,
"POINT (126.50898518239 35.5848340956844)","5594194222",,,,cafe,,,,,,,,,,,
"POINT (126.526907082387 35.5834699956846)","5594170523",,,,cafe,,,,,,,,,,,
"POINT (126.544031782385 35.5875004956842)","5594193921",,,,cafe,,,,,,,,,,,
"POINT (126.545232582385 35.5879644956842)","5594193922",,,,cafe,,,,,,,,,,,
"POINT (126.470292782395 35.6279134956808)","5610851923",,,,cafe,,,,,,,,,,,
"POINT (126.471049282395 35.6284940956807)","5610851924",,,,cafe,,,,,,,,,,,
"POINT (126.487699382393 35.5971717956834)","5610851921",,,,cafe,,,,,,,,,,,
"POINT (126.396658382405 35.8155952956648)","5610852640",,,,cafe,,,,,,,,,,,
"POINT (126.477048882394 35.8170334956647)","5610807423",,,,cafe,,,,,,,,,,,
"POINT (126.489339582393 35.8414402956627)","4498256589",,,,cafe,,,,,,커피내리는집,,,,,
"POINT (126.745378182357 34.3178266957949)","5935837088",,,,cafe,,,,,,Ediya Coffee,,,,,
"POINT (126.747115382357 34.3184937957949)","5935837092",,,,cafe,,,,,,Paris Baguette,,,,,
"POINT (126.756909982355 34.3140919957953)","5935837097",,,,cafe,,,,,,Paris Baguette,,,,,
"POINT (126.755990382355 34.3144252957953)","6696468285",,,,cafe,,,,,,,,,,,
"POINT (126.757925282355 34.3136029957953)","5947614515",,,,cafe,,,,,,XYM Coffee/Wine Shop,,,,,
"POINT (126.607214382376 34.5670957957728)","4639674632",,,,cafe,,,,,,커피월드,,,,,
"POINT (126.787255582351 34.5127608957776)","6454382985",,,1606 고바우전망대,cafe,,,,,,분홍나루,,,,,
"POINT (126.769759482354 34.6365270957667)","7144818699",,,"5",cafe,,,,,,이디야커피 강진점,,,,,
"POINT (126.767315682354 34.6382071957665)","7145799490",,,"88",cafe,,,,,,원앤식스,,,,,
"POINT (126.769058782354 34.6397820957664)","7147754740",,,"113",cafe,,,,,,놀숲,,,,,
"POINT (126.766567882354 34.6411976957663)","7147754732",,,"103",cafe,,,,,,파스쿠찌,,,,,
"POINT (126.904732282335 34.6839505957625)","6276513200",,,,cafe,,,,,,할리스커피 장흥점,,,,,
"POINT (126.818607682347 34.7193268957594)","5698862482",,,,cafe,,,,,,하멜 카페,,,,,
"POINT (127.144236982301 34.5240568957766)","6143103631",,,"32",cafe,,,,,,이디야커피 고흥녹동점,,,,,
"POINT (127.089554682309 34.6711986957636)","5549889327",,,,cafe,,,,,,,,,,,
"POINT (127.08097078231 34.7726499957547)","5259147384",,,,cafe,,,,,,작은카페,,,,,
"POINT (126.708351882362 35.0034216957346)","5786769753",,,,cafe,,,,,,,,,,,
"POINT (126.86676288234 35.102219995726)","5590214222",,,,cafe,,,,,,,,,,,
"POINT (126.871480182339 35.0688703957289)","5590223121",,,,cafe,,,,,,,,,,,
"POINT (126.896685382336 35.1103566957253)","1224865188",,,,cafe,,,,,,케냐에스프레소,,,,,
"POINT (126.899004882335 35.1121052957251)","5360846305",,,,cafe,,,,,,지니커피,,,,,
"POINT (126.856506382341 35.1324080957233)","5460664222",,,,cafe,,,,,,,,,,,
"POINT (126.863262282341 35.1234907957241)","5441764421",,,,cafe,,,,,,,,,,,
"POINT (126.834169682345 35.1404394957226)","6715792509",,,"633",cafe,,,,,,할리스커피 광주아울렛점,,,,,
"POINT (126.839555982344 35.1427232957224)","6716122599",,,687-1,cafe,,,,,,카페어반피크닉,,,,,
"POINT (126.838812582344 35.1450035957222)","6716052448",,,"67",cafe,,,,,,코벤트마켓,,,,,
"POINT (126.840483882344 35.1436033957224)","6716055823",,,,cafe,,,,,,준클라우드,,,,,
"POINT (126.839987082344 35.1444106957223)","5905084386",,,"15",cafe,,,,,,304커피로스터스 본점,,,,,
"POINT (126.841165782344 35.1445270957223)","6716122600",,,"3",cafe,,,,,,GB커피요,,,,,
"POINT (126.840454982344 35.1450248957223)","6716122601",,,"20",cafe,,,,,,떼시스,,,,,
"POINT (126.840350382344 35.1452135957222)","6716122602",,,"22",cafe,,,,,,낭만공작소,,,,,
"POINT (126.848070882343 35.147505595722)","4273233289",,,"7",cafe,스타벅스,,,,,스타벅스 상무역점,(주)스타벅스커피 코리아,,,,
"POINT (126.848002782343 35.1491206957219)","6745089564",,,,cafe,,,,,,빽다방,,,,,
"POINT (126.847997882343 35.1496040957219)","6745089565",,,,cafe,,,,,,카페 에쏠로지,,,,,
"POINT (126.847874882343 35.1538596957215)","5882106911",,,,cafe,스타벅스,,,,,스타벅스 광주상무점,(주)스타벅스커피 코리아,,,,
"POINT (126.858938282341 35.1395090957227)","6744119764",,,,cafe,,,,,,카페 에쏠로지,,,,,
"POINT (126.858863482341 35.1405703957226)","6744993172",,,,cafe,,,,,,카페 africa,,,,,
"POINT (126.856889282341 35.1500378957218)","6725721785",,,,cafe,,,,,,,,,,,
"POINT (126.872965382339 35.1451766957222)","4792773589",,,,cafe,,,,,,베스킨라벤스 염주점,,,,,
"POINT (126.899068682336 35.1350115957231)","5539271422",,,,cafe,,,,,,,,,,,
"POINT (126.913748882333 35.1387451957228)","5905485486",,,,cafe,,,,,,,,,,,
"POINT (126.913354782333 35.1395502957227)","5052528967",,,"57",cafe,,,,,,이야기배달부 동개비,,,,,
"POINT (126.913932482333 35.1461677957221)","5905486686",,,,cafe,,,,,,,,,,,
"POINT (126.913954282333 35.1466117957221)","5913419586",,,,cafe,,,,,,,,,,,
"POINT (126.915260282333 35.079290995728)","5549904323",,,,cafe,,,,,,,,,,,
"POINT (126.914138682333 35.1229335957242)","7326690294",,,,cafe,스타벅스,,,,,스타벅스,,,,,
"POINT (126.917222882333 35.1218156957243)","4676168184",,,,cafe,,,,,,아필코,,,,,
"POINT (126.929229482331 35.1299128957235)","5598602946",,,,cafe,,,,,,,,,,,
"POINT (126.929089082331 35.1318646957234)","2822284246",,,,cafe,,,,,,The Jane,,,,,
"POINT (126.945619582329 35.1314873957234)","5384999823",,,,cafe,,,,,,,,,,,
"POINT (126.945022882329 35.1321478957234)","5430506722",,,,cafe,,,,,,,,,,,
"POINT (126.945792482329 35.1317633957234)","5384967323",,,,cafe,,,,,,,,,,,
"POINT (126.954198182328 35.1340153957232)","5384999822",,,,cafe,,,,,,,,,,,
"POINT (126.954662082328 35.1340225957232)","5384913121",,,,cafe,스타벅스,,,,,,,,,,
"POINT (126.917651782333 35.1353028957231)","5598602949",,,,cafe,스타벅스,,,,,,,,,,
"POINT (126.915283982333 35.1386246957228)","5910982085",,,"14",cafe,,,,,,밀당,,,,,
"POINT (126.914645082333 35.1392057957228)","5911264200",,,,cafe,,,,,,,,,,,
"POINT (126.915547482333 35.1387354957228)","5910973586",,,"70",cafe,,,,,,로이스 커피,,,,,
"POINT (126.916742682333 35.1386160957228)","5910982087",,,7-1,cafe,,,,,,이유네커피가게,,,,,
"POINT (126.915994682333 35.1394678957227)","6746062391",,,,cafe,,,,,,한옥카페 암브로시아,,,,,
"POINT (126.920755082332 35.1429950957224)","5913419587",,,,cafe,,,,,,,,,,,
"POINT (126.925201682332 35.1422443957225)","4632051985",,,,cafe,,,,,,엔제리너스,,,,,
"POINT (126.931831082331 35.1426659957225)","4631845737",,,,cafe,,,,,,엔제리너스,,,,,
"POINT (126.915253882333 35.1471933957221)","4475055363",,,,cafe,,,,,,디저트 퀸 충장로점,,,,,
"POINT (126.915726582333 35.147430795722)","6725721885",,,,cafe,,,,,,,,,,,
"POINT (126.917786982333 35.1465837957221)","4475055377",,,,cafe,,,,,,드롭탑,,,,,
"POINT (126.916887382333 35.1473157957221)","4475055364",,,,cafe,,,,,,파리바게트,,,,,
"POINT (126.917490682333 35.147886395722)","4475060025",,,,cafe,스타벅스,,,,,스타벅스 충장서림점,(주)스타벅스커피 코리아,,,,
"POINT (126.917573282333 35.147747495722)","4475060012",,,,cafe,,,,,,궁전제과,,,,,
"POINT (126.918302882333 35.1467835957221)","4475055376",,,,cafe,스타벅스,,,,,스타벅스,(주)스타벅스커피 코리아,,,,
"POINT (126.914875982333 35.1483737957219)","4490659706",,,,cafe,,,,,,로니로티 광주충장로점,,,,,
"POINT (126.914869682333 35.1494072957219)","4490658870",,,,cafe,스타벅스,,,,,스타벅스 광주충장로점,(주)스타벅스커피 코리아,,,,
"POINT (126.918765182333 35.1487338957219)","5253676122",,,,cafe,,,,,,,,,,,
"POINT (126.918669882333 35.1500153957218)","4871943321",,,,cafe,,,,,,,,,,,
"POINT (126.921203582332 35.1502296957218)","5905750685",,,,cafe,,,,,,,,,,,
"POINT (126.923171882332 35.1490584957219)","5913510685",,,,cafe,,,,,,,,,,,
"POINT (126.923856082332 35.1486151957219)","5913510485",,,,cafe,,,,,,,,,,,
"POINT (126.923875082332 35.1491990957219)","5911273188",,,,cafe,,,,,,,,,,,
"POINT (126.924573382332 35.1491413957219)","5911264105",,,,cafe,,,,,,,,,,,
"POINT (126.924935682332 35.1490591957219)","5905752885",,,,cafe,,,,,,,,,,,
"POINT (126.922530582332 35.1499733957218)","5905466085",,,,cafe,,,,,,,,,,,
"POINT (126.924048282332 35.1497725957218)","5911264204",,,,cafe,,,,,,,,,,,
"POINT (126.927890882331 35.1493452957219)","5919771185",,,,cafe,,,,,,,,,,,
"POINT (126.955417982328 35.1343231957232)","5384910523",,,,cafe,,,,,,,,,,,
"POINT (127.00764258232 35.0939704957267)","5590207421",,,,cafe,,,,,,,,,,,
"POINT (127.341884082274 34.6617393957645)","4637505963",,,,cafe,,,,,,Lietto,,,,,
"POINT (127.641654582232 34.7279638957586)","5156083438",,,,cafe,,,,,,Foel Coffee,,,,,
"POINT (127.649712482231 34.7388719957577)","5153242335",,,,cafe,,,,,,Audrey Hepburn Cafe,,,,,
"POINT (127.649840682231 34.7392430957577)","5152857133",,,,cafe,,,,,,Caffe Pascucci,,,,,
"POINT (127.65365478223 34.7452358957571)","5153242330",,,,cafe,,,,,,Dal.komm Coffee,,,,,
"POINT (127.65686808223 34.7546990957563)","5152847386",,,,cafe,,,,,,Tous Les Jours,,,,,
"POINT (127.65709608223 34.7563937957561)","5146658436",,,,cafe,,,,,,Cafe Bene,,,,,
"POINT (127.65582198223 34.7606510957558)","5146658453",,,,cafe,,,,,,Paris Baguette,,,,,
"POINT (127.671008682228 34.7462187957571)","5145084631",,,,cafe,스타벅스,,,,,Starbucks,,,,,
"POINT (127.671435182228 34.746555995757)","6771825042",,,,cafe,,,,,,A Twosome Place,,,,,
"POINT (127.672076182228 34.746555995757)","6771825039",,,,cafe,,,,,,Hollys Coffee,,,,,
"POINT (127.676544782227 34.7474441957569)","6771825020",,,,cafe,,,,,,Secret Garden Cafe,,,,,
"POINT (127.676335582227 34.7481185957569)","6771825019",,,,cafe,,,,,,Tous les Jours,,,,,
"POINT (127.698990282224 34.7480922957569)","4632216716",,,"156",cafe,,,,,,그랑피아프 제과점,,,,,
"POINT (127.701615382224 34.7509174957566)","6771825016",,,,cafe,,,,,,cafe Ti-Amo,,,,,
"POINT (127.704339982223 34.7528459957565)","3416912287",,,,cafe,스타벅스,,,,,Starbucks,,,,,
"POINT (127.65915868223 34.7666356957553)","5146658461",,,,cafe,,,,,,Tous Les Jours,,,,,
"POINT (127.66018058223 34.7663470957553)","6761508817",,,36-1,cafe,,,,,,Mega Coffee,,,,,
"POINT (127.663227582229 34.7632886957555)","6761508809",,,,cafe,,,,,,Juny Cafe,,,,,
"POINT (127.666086782229 34.7629295957556)","6765934364",,,,cafe,,,,,,Ediya,,,,,
"POINT (127.669613982228 34.7611974957557)","5903084385",,,,cafe,,,,,,,,,,,
"POINT (127.662543382229 34.7667083957552)","5142915721",,,,cafe,,,,,,Angel-in-us Coffee,,,,,
"POINT (127.692303482225 34.7846128957537)","5236480073",,,,cafe,,,,,,Cafe in Seattle,,,,,
"POINT (127.737492582219 34.7318368957583)","5123957399",,,,cafe,,,,,,하얀파도,,,,,
"POINT (127.739364082219 34.7383064957577)","5903395285",,,,cafe,,,,,,,,,,,
"POINT (127.740565082218 34.7387409957577)","5903393286",,,,cafe,,,,,,,,,,,
